iter	Passed	Remaining
0	109	10823
1	236	11584
2	349	11305
3	457	10972
4	575	10939
5	686	10761
6	797	10589
7	905	10418
8	1013	10251
9	1125	10127
10	1243	10060
11	1351	9914
12	1463	9792
13	1576	9682
14	1689	9575
15	1800	9451
16	1916	9358
17	2025	9226
18	2130	9083
19	2224	8898
20	2341	8807
21	2445	8669
22	2561	8574
23	2659	8420
24	2772	8318
25	2868	8164
26	2976	8047
27	3072	7900
28	3195	7823
29	3321	7749
30	3462	7706
31	3597	7643
32	3725	7562
33	3860	7493
34	3971	7375
35	4080	7254
36	4183	7122
37	4300	7016
38	4413	6903
39	4523	6784
40	4642	6680
41	4748	6557
42	4870	6456
43	4967	6322
44	5074	6201
45	5177	6078
46	5317	5995
47	5486	5943
48	5593	5822
49	5697	5697
50	5837	5608
51	5940	5483
52	6068	5381
53	6197	5279
54	6335	5183
55	6444	5063
56	6546	4938
57	6628	4799
58	6744	4686
59	6864	4576
60	6949	4443
61	7057	4325
62	7156	4202
63	7269	4089
64	7358	3962
65	7464	3845
66	7559	3723
67	7652	3601
68	7734	3475
69	7815	3349
70	7895	3224
71	7984	3105
72	8075	2986
73	8162	2867
74	8253	2751
75	8305	2622
76	8392	2506
77	8441	2380
78	8527	2266
79	8606	2151
80	8676	2035
81	8751	1921
82	8838	1810
83	8924	1699
84	9003	1588
85	9090	1479
86	9168	1369
87	9242	1260
88	9334	1153
89	9405	1045
90	9480	937
91	9569	832
92	9644	725
93	9738	621
94	9828	517
95	9907	412
96	9992	309
97	10066	205
98	10145	102
99	10222	0
